Sample,Site,Drainage,G1,G2,G3,G4,G5,G6,G7,G8,G9,S1,S2,S3,S4,S5,S6,S7,S8,S9,Ai,STi
G091135-Y1,Yarra 1,North Slope,Pore-DAB*322,Pore-DAB*249,,,,,,,,3,9,,,,,,,,2,2
G091138Y1,Yarra 1,North slope,Pore-DAB*322,,,,,,,,,3,,,,,,,,,1,1
G091138-Y1,Yarra 1,North Slope,Pore-DAB*322,Pore-DAB*249,,,,,,,,3,9,,,,,,,,2,2
G091141Y1,Yarra 1,North slope,Pore-DAB*322,Pore-DAB*249,,,,,,,,3,9,,,,,,,,2,2
G091141-Y1,Yarra 1,North Slope,Pore-DAB*322,Pore-DAB*249,,,,,,,,3,9,,,,,,,,2,2
G091144Y1,Yarra 1,North slope,Pore-DAB*322,Pore-DAB*250,Pore-DAB*251,Pore-DAB*249,,,,,,3,3,15,9,,,,,,4,3
G091145Y1,Yarra 1,North slope,Pore-DAB*322,Pore-DAB*249,,,,,,,,3,9,,,,,,,,2,2
G091146Y1,Yarra 1,North slope,Pore-DAB*322,Pore-DAB*249,,,,,,,,3,9,,,,,,,,2,2
G091147Y1,Yarra 1,North slope,Pore-DAB*322,Pore-DAB*249,,,,,,,,3,9,,,,,,,,2,2
G091148Y1,Yarra 1,North slope,Pore-DAB*322,Pore-DAB*249,,,,,,,,3,9,,,,,,,,2,2
G091149Y1,Yarra 1,North slope,Pore-DAB*322,Pore-DAB*249,,,,,,,,3,9,,,,,,,,2,2
G091150Y1,Yarra 1,North slope,Pore-DAB*322,Pore-DAB*249,,,,,,,,3,9,,,,,,,,2,2
G091151Y1,Yarra 1,North slope,Pore-DAB*322,Pore-DAB*249,,,,,,,,3,9,,,,,,,,2,2
G091153Y1,Yarra 1,North slope,Pore-DAB*322,,,,,,,,,3,,,,,,,,,1,1
G091155Y1,Yarra 1,North slope,Pore-DAB*322,Pore-DAB*375,Pore-DAB*249,,,,,,,3,9,9,,,,,,,3,2
G091157Y1,Yarra 1,North slope,Pore-DAB*322,Pore-DAB*107,Pore-DAB*103,,,,,,,3,7,9,,,,,,,3,3
G091158Y1,Yarra 1,North slope,Pore-DAB*322,Pore-DAB*249,,,,,,,,3,9,,,,,,,,2,2
G091163Y1,Yarra 1,North slope,Pore-DAB*322,Pore-DAB*249,,,,,,,,3,9,,,,,,,,2,2
G091163-Y1,Yarra 1,North Slope,Pore-DAB*322,Pore-DAB*249,,,,,,,,3,9,,,,,,,,2,2
G091164Y1,Yarra 1,North slope,Pore-DAB*322,Pore-DAB*249,,,,,,,,3,9,,,,,,,,2,2
G091164-Y1,Yarra 1,North Slope,Pore-DAB*322,Pore-DAB*249,,,,,,,,3,9,,,,,,,,2,2
G091165Y1,Yarra 1,North slope,Pore-DAB*322,Pore-DAB*249,,,,,,,,3,9,,,,,,,,2,2
G091165-Y1,Yarra 1,North Slope,Pore-DAB*322,Pore-DAB*249,,,,,,,,3,9,,,,,,,,2,2
G091166Y1,Yarra 1,North slope,Pore-DAB*322,Pore-DAB*249,Pore-DAB*103,,,,,,,3,9,9,,,,,,,3,2
G091166-Y1,Yarra 1,North Slope,Pore-DAB*322,Pore-DAB*103,Pore-DAB*249,,,,,,,3,9,9,,,,,,,3,2
G100267Y1,Yarra 1,North slope,Pore-DAB*322,Pore-DAB*249,,,,,,,,3,9,,,,,,,,2,2
G100268Y1,Yarra 1,North slope,Pore-DAB*322,Pore-DAB*249,Pore-DAB*277,,,,,,,3,9,13,,,,,,,3,3
G100270Y1,Yarra 1,North slope,Pore-DAB*322,Pore-DAB*249,,,,,,,,3,9,,,,,,,,2,2
G100271Y1,Yarra 1,North slope,Pore-DAB*289,Pore-DAB*322,Pore-DAB*249,,,,,,,8,3,9,,,,,,,3,3
G100272Y1,Yarra 1,North slope,Pore-DAB*322,Pore-DAB*216,Pore-DAB*120,Pore-DAB*249,,,,,,3,11,8,9,,,,,,4,4
G100273Y1,Yarra 1,North slope,Pore-DAB*322,Pore-DAB*249,,,,,,,,3,9,,,,,,,,2,2
G100274Y1,Yarra 1,North slope,Pore-DAB*322,Pore-DAB*249,,,,,,,,3,9,,,,,,,,2,2
G100275Y1,Yarra 1,North slope,Pore-DAB*322,Pore-DAB*103,,,,,,,,3,9,,,,,,,,2,2
G100276Y1,Yarra 1,North slope,Pore-DAB*216,Pore-DAB*322,Pore-DAB*120,Pore-DAB*249,,,,,,11,3,8,9,,,,,,4,4
G100277Y1,Yarra 1,North slope,Pore-DAB*322,Pore-DAB*249,Pore-DAB*375,,,,,,,3,9,9,,,,,,,3,2
G100278Y1,Yarra 1,North slope,Pore-DAB*322,Pore-DAB*107,Pore-DAB*103,Pore-DAB*375,,,,,,3,7,9,9,,,,,,4,3
G100279Y1,Yarra 1,North slope,Pore-DAB*216,Pore-DAB*322,Pore-DAB*249,Pore-DAB*120,,,,,,11,3,9,8,,,,,,4,4
G100280Y1,Yarra 1,North slope,Pore-DAB*322,Pore-DAB*249,,,,,,,,3,9,,,,,,,,2,2
G100281Y1,Yarra 1,North slope,Pore-DAB*322,Pore-DAB*250,Pore-DAB*251,Pore-DAB*249,,,,,,3,3,15,9,,,,,,4,3
G100282Y1,Yarra 1,North slope,Pore-DAB*322,Pore-DAB*249,,,,,,,,3,9,,,,,,,,2,2
G100283Y1,Yarra 1,North slope,Pore-DAB*322,Pore-DAB*249,,,,,,,,3,9,,,,,,,,2,2
G100284Y1,Yarra 1,North slope,Pore-DAB*322,,,,,,,,,3,,,,,,,,,1,1
G100285Y1,Yarra 1,North slope,Pore-DAB*322,Pore-DAB*249,,,,,,,,3,9,,,,,,,,2,2
G100286Y1,Yarra 1,North slope,Pore-DAB*322,Pore-DAB*249,Pore-DAB*103,,,,,,,3,9,9,,,,,,,3,2
G100287Y1,Yarra 1,North slope,Pore-DAB*322,Pore-DAB*249,,,,,,,,3,9,,,,,,,,2,2
G100288Y1,Yarra 1,North slope,Pore-DAB*322,Pore-DAB*277,Pore-DAB*249,,,,,,,3,13,9,,,,,,,3,3
G100289Y1,Yarra 1,North slope,Pore-DAB*322,Pore-DAB*286,Pore-DAB*422,Pore-DAB*249,,,,,,3,15,6,9,,,,,,4,4
G100290Y1,Yarra 1,North slope,Pore-DAB*322,Pore-DAB*249,,,,,,,,3,9,,,,,,,,2,2
G100291Y1,Yarra 1,North slope,Pore-DAB*133,Pore-DAB*322,Pore-DAB*106,Pore-DAB*335,Pore-DAB*375,,,,,11,3,8,9,9,,,,,5,4
G100292Y1,Yarra 1,North slope,Pore-DAB*322,Pore-DAB*107,Pore-DAB*249,,,,,,,3,7,9,,,,,,,3,3
G100293Y1,Yarra 1,North slope,Pore-DAB*322,Pore-DAB*249,,,,,,,,3,9,,,,,,,,2,2
G100294-Y1,Yarra 1,North Slope,Pore-DAB*322,Pore-DAB*103,Pore-DAB*249,,,,,,,3,9,9,,,,,,,3,2
G100295Y1,Yarra 1,North slope,Pore-DAB*322,,,,,,,,,3,,,,,,,,,1,1
G100296Y1,Yarra 1,North slope,Pore-DAB*322,Pore-DAB*286,Pore-DAB*422,Pore-DAB*103,,,,,,3,15,6,9,,,,,,4,4
G100297Y1,Yarra 1,North slope,Pore-DAB*322,Pore-DAB*249,,,,,,,,3,9,,,,,,,,2,2
G100298Y1,Yarra 1,North slope,Pore-DAB*322,Pore-DAB*249,,,,,,,,3,9,,,,,,,,2,2
G091128Y2,Yarra 2,North slope,Pore-DAB*326,Pore-DAB*249,Pore-DAB*347,,,,,,,12,9,15,,,,,,,3,3
G091129Y2,Yarra 2,North slope,Pore-DAB*326,Pore-DAB*249,Pore-DAB*347,Pore-DAB*202,,,,,,12,9,15,9,,,,,,4,3
G091130Y2,Yarra 2,North slope,Pore-DAB*284,Pore-DAB*416,Pore-DAB*249,Pore-DAB*202,,,,,,3,15,9,9,,,,,,4,3
G091131,Yarra 2,North slope,Pore-DAB*329,Pore-DAB*381,Pore-DAB*279,Pore-DAB*412,Pore-DAB*104,Pore-DAB*202,,,,12,11,8,6,9,9,,,,6,5
G091131-Y2,Yarra 2,North Slope,Pore-DAB*381,Pore-DAB*279,Pore-DAB*329,Pore-DAB*412,Pore-DAB*104,Pore-DAB*202,,,,11,8,12,6,9,9,,,,6,5
G091132Y2,Yarra 2,North slope,Pore-DAB*284,Pore-DAB*347,Pore-DAB*202,,,,,,,3,15,9,,,,,,,3,3
G091133Y2,Yarra 2,North slope,Pore-DAB*284,,,,,,,,,3,,,,,,,,,1,1
G091134Y2,Yarra 2,North slope,Pore-DAB*347,Pore-DAB*249,Pore-DAB*202,,,,,,,15,9,9,,,,,,,3,2
G091168Y2,Yarra 2,North slope,Pore-DAB*322,Pore-DAB*249,,,,,,,,3,9,,,,,,,,2,2
G091606Y2,Yarra 2,North slope,Pore-DAB*284,Pore-DAB*202,,,,,,,,3,9,,,,,,,,2,2
G091607Y2,Yarra 2,North slope,Pore-DAB*284,Pore-DAB*349,Pore-DAB*202,,,,,,,3,15,9,,,,,,,3,3
G091608Y2,Yarra 2,North slope,Pore-DAB*322,Pore-DAB*284,Pore-DAB*202,,,,,,,3,3,9,,,,,,,3,2
G091609Y2,Yarra 2,North slope,Pore-DAB*284,Pore-DAB*322,Pore-DAB*202,,,,,,,3,3,9,,,,,,,3,2
G091611Y2,Yarra 2,North slope,Pore-DAB*284,Pore-DAB*202,,,,,,,,3,9,,,,,,,,2,2
G091612Y2,Yarra 2,North slope,Pore-DAB*334,Pore-DAB*284,Pore-DAB*322,Pore-DAB*249,Pore-DAB*202,,,,,7,3,3,9,9,,,,,5,3
G101279Y2,Yarra 2,North slope,Pore-DAB*342,Pore-DAB*202,,,,,,,,15,9,,,,,,,,2,2
G101280Y2,Yarra 2,North slope,Pore-DAB*202,Pore-DAB*342,Pore-DAB*284,,,,,,,9,15,3,,,,,,,3,3
G101281Y2,Yarra 2,North slope,Pore-DAB*284,Pore-DAB*249,Pore-DAB*202,,,,,,,3,9,9,,,,,,,3,2
G101282Y2,Yarra 2,North slope,Pore-DAB*342,Pore-DAB*349,Pore-DAB*202,,,,,,,15,15,9,,,,,,,3,2
G101283Y2,Yarra 2,North slope,Pore-DAB*334,Pore-DAB*325,Pore-DAB*284,Pore-DAB*202,,,,,,7,14,3,9,,,,,,4,4
G101284Y2,Yarra 2,North slope,Pore-DAB*284,Pore-DAB*202,Pore-DAB*249,,,,,,,3,9,9,,,,,,,3,2
G101285Y2,Yarra 2,North slope,Pore-DAB*202,Pore-DAB*322,Pore-DAB*284,,,,,,,9,3,3,,,,,,,3,2
G101286Y2,Yarra 2,North slope,Pore-DAB*284,Pore-DAB*202,,,,,,,,3,9,,,,,,,,2,2
G101287Y2,Yarra 2,North slope,Pore-DAB*284,Pore-DAB*202,,,,,,,,3,9,,,,,,,,2,2
G101288Y2,Yarra 2,North slope,Pore-DAB*322,Pore-DAB*349,Pore-DAB*202,,,,,,,3,15,9,,,,,,,3,3
G101289Y2,Yarra 2,North slope,Pore-DAB*322,Pore-DAB*284,Pore-DAB*202,,,,,,,3,3,9,,,,,,,3,2
G101290Y2,Yarra 2,North slope,Pore-DAB*322,Pore-DAB*284,Pore-DAB*202,,,,,,,3,3,9,,,,,,,3,2
G101291,Yarra 2,North slope,Pore-DAB*322,Pore-DAB*202,Pore-DAB*284,,,,,,,3,9,3,,,,,,,3,2
G101292Y2,Yarra 2,North slope,Pore-DAB*284,Pore-DAB*202,Pore-DAB*342,,,,,,,3,9,15,,,,,,,3,3
G101293Y2,Yarra 2,North slope,Pore-DAB*334,Pore-DAB*325,Pore-DAB*202,,,,,,,7,14,9,,,,,,,3,3
G101294Y2,Yarra 2,North slope,Pore-DAB*322,Pore-DAB*202,,,,,,,,3,9,,,,,,,,2,2
G101295Y2,Yarra 2,North slope,Pore-DAB*325,Pore-DAB*334,Pore-DAB*322,Pore-DAB*202,,,,,,14,7,3,9,,,,,,4,4
G101296Y2,Yarra 2,North slope,Pore-DAB*284,Pore-DAB*334,Pore-DAB*325,Pore-DAB*202,,,,,,3,7,14,9,,,,,,4,4
G101297,Yarra 2,North slope,Pore-DAB*284,Pore-DAB*347,Pore-DAB*249,Pore-DAB*103,,,,,,3,15,9,9,,,,,,4,3
G101298Y2,Yarra 2,North slope,Pore-DAB*284,Pore-DAB*202,,,,,,,,3,9,,,,,,,,2,2
G101299Y2,Yarra 2,North slope,Pore-DAB*284,Pore-DAB*202,,,,,,,,3,9,,,,,,,,2,2
G101300Y2,Yarra 2,North slope,Pore-DAB*284,Pore-DAB*322,Pore-DAB*202,,,,,,,3,3,9,,,,,,,3,2
G101301Y2,Yarra 2,North slope,Pore-DAB*322,Pore-DAB*284,Pore-DAB*202,,,,,,,3,3,9,,,,,,,3,2
G101302Y2,Yarra 2,North slope,Pore-DAB*284,Pore-DAB*342,Pore-DAB*202,,,,,,,3,15,9,,,,,,,3,3
G101303Y2,Yarra 2,North slope,Pore-DAB*284,Pore-DAB*202,,,,,,,,3,9,,,,,,,,2,2
G101304Y2,Yarra 2,North slope,Pore-DAB*334,Pore-DAB*325,Pore-DAB*202,Pore-DAB*417,,,,,,7,14,9,15,,,,,,4,4
G101305Y2,Yarra 2,North slope,Pore-DAB*284,Pore-DAB*342,Pore-DAB*249,Pore-DAB*202,,,,,,3,15,9,9,,,,,,4,3
G101306Y2,Yarra 2,North slope,Pore-DAB*284,Pore-DAB*342,Pore-DAB*249,Pore-DAB*202,,,,,,3,15,9,9,,,,,,4,3
G101307Y2,Yarra 2,North slope,Pore-DAB*322,Pore-DAB*202,Pore-DAB*342,,,,,,,3,9,15,,,,,,,3,3
G101308Y2,Yarra 2,North slope,Pore-DAB*202,Pore-DAB*284,,,,,,,,9,3,,,,,,,,2,2
G101309Y2,Yarra 2,North slope,Pore-DAB*325,Pore-DAB*334,Pore-DAB*322,Pore-DAB*202,,,,,,14,7,3,9,,,,,,4,4
G101310Y2,Yarra 2,North slope,Pore-DAB*284,Pore-DAB*202,Pore-DAB*322,,,,,,,3,9,3,,,,,,,3,2
G090402Dam,Damier 1,North slope,Pore-DAB*202,Pore-DAB*326,Pore-DAB*277,,,,,,,9,12,13,,,,,,,3,3
G090406Dam,Damier 1,North slope,Pore-DAB*284,Pore-DAB*342,Pore-DAB*202,,,,,,,3,15,9,,,,,,,3,3
G090407Dam,Damier 1,North slope,Pore-DAB*284,Pore-DAB*202,Pore-DAB*415,,,,,,,3,9,15,,,,,,,3,3
G090409-Dam,Damier 1,North Slope,Pore-DAB*322,Pore-DAB*202,,,,,,,,3,9,,,,,,,,2,2
G090409Dam1,Damier 1,North slope,Pore-DAB*322,,,,,,,,,3,,,,,,,,,1,1
G090410-Dam,Damier 1,North Slope,Pore-DAB*322,Pore-DAB*825,Pore-DAB*284,Pore-DAB*567,Pore-DAB*202,Pore-DAB*249,,,,3,2,3,6,9,9,,,,6,4
G090411-Dam,Damier 1,North Slope,Pore-DAB*322,Pore-DAB*202,Pore-DAB*249,,,,,,,3,9,9,,,,,,,3,2
G090412Dam,Damier 1,North slope,Pore-DAB*415,Pore-DAB*249,Pore-DAB*202,,,,,,,15,9,9,,,,,,,3,2
G090412-Dam,Damier 1,North Slope,Pore-DAB*415,Pore-DAB*202,Pore-DAB*249,Pore-DAB*827,,,,,,15,9,9,8,,,,,,4,3
G090413Dam,Damier 1,North slope,Pore-DAB*322,Pore-DAB*284,Pore-DAB*250,Pore-DAB*267,Pore-DAB*251,Pore-DAB*240,Pore-DAB*202,,,3,3,3,11,15,4,9,,,7,5
G090413-Dam,Damier 1,North Slope,Pore-DAB*322,Pore-DAB*202,Pore-DAB*284,Pore-DAB*514,,,,,,3,9,3,10,,,,,,4,3
G090414Dam,Damier 1,North slope,Pore-DAB*322,Pore-DAB*249,,,,,,,,3,9,,,,,,,,2,2
G090414-Dam,Damier 1,North Slope,Pore-DAB*322,Pore-DAB*249,,,,,,,,3,9,,,,,,,,2,2
G090415-Dam,Damier 1,North Slope,Pore-DAB*334,Pore-DAB*325,Pore-DAB*202,,,,,,,7,14,9,,,,,,,3,3
G090415Dam1,Damier 1,North slope,Pore-DAB*325,Pore-DAB*334,Pore-DAB*202,,,,,,,14,7,9,,,,,,,3,3
G090416-Dam,Damier 1,North Slope,Pore-DAB*322,Pore-DAB*834,Pore-DAB*418,Pore-DAB*249,Pore-DAB*202,,,,,3,13,15,9,9,,,,,5,4
G090417-Dam,Damier 1,North Slope,Pore-DAB*322,Pore-DAB*284,Pore-DAB*202,Pore-DAB*249,,,,,,3,3,9,9,,,,,,4,2
G090418Dam,Damier 1,North slope,Pore-DAB*347,Pore-DAB*202,Pore-DAB*249,,,,,,,15,9,9,,,,,,,3,2
G090418-Dam,Damier 1,North Slope,Pore-DAB*516,Pore-DAB*202,Pore-DAB*249,Pore-DAB*827,,,,,,15,9,9,8,,,,,,4,3
G090419-Dam,Damier 1,North Slope,Pore-DAB*865,Pore-DAB*284,Pore-DAB*202,Pore-DAB*249,,,,,,3,3,9,9,,,,,,4,2
G090420-Dam,Damier 1,North Slope,Pore-DAB*284,Pore-DAB*202,Pore-DAB*322,,,,,,,3,9,3,,,,,,,3,2
G090421-Dam,Damier 1,North Slope,Pore-DAB*322,Pore-DAB*202,Pore-DAB*249,Pore-DAB*514,,,,,,3,9,9,10,,,,,,4,3
G090422Dam,Damier 1,North slope,Pore-DAB*295,Pore-DAB*347,Pore-DAB*412,Pore-DAB*322,Pore-DAB*202,Pore-DAB*249,Pore-DAB*284,,,8,15,6,3,9,9,3,,,7,5
G090422-Dam,Damier 1,North Slope,Pore-DAB*295,Pore-DAB*516,Pore-DAB*412,Pore-DAB*202,Pore-DAB*249,Pore-DAB*322,,,,8,15,6,9,9,3,,,,6,5
G090423-Dam,Damier 1,North Slope,Pore-DAB*325,Pore-DAB*334,Pore-DAB*516,Pore-DAB*202,Pore-DAB*249,,,,,14,7,15,9,9,,,,,5,4
G090424-Dam,Damier 1,North Slope,Pore-DAB*249,Pore-DAB*202,Pore-DAB*514,,,,,,,9,9,10,,,,,,,3,2
G090424Dam1,Damier 1,North slope,Pore-DAB*249,Pore-DAB*202,,,,,,,,9,9,,,,,,,,2,1
G090425-Dam,Damier 1,North Slope,Pore-DAB*322,Pore-DAB*202,Pore-DAB*514,,,,,,,3,9,10,,,,,,,3,3
G090426-Dam,Damier 1,North Slope,Pore-DAB*284,Pore-DAB*516,Pore-DAB*202,,,,,,,3,15,9,,,,,,,3,3
G090426Dam1,Damier 1,North slope,Pore-DAB*284,Pore-DAB*347,Pore-DAB*202,,,,,,,3,15,9,,,,,,,3,3
G090427Dam,Damier 1,North slope,Pore-DAB*202,Pore-DAB*250,Pore-DAB*240,Pore-DAB*251,Pore-DAB*267,Pore-DAB*256,,,,9,3,4,15,11,9,,,,6,5
G090427-Dam,Damier 1,North Slope,Pore-DAB*202,Pore-DAB*514,,,,,,,,9,10,,,,,,,,2,2
G090428-Dam,Damier 1,North Slope,Pore-DAB*322,Pore-DAB*415,Pore-DAB*202,Pore-DAB*249,,,,,,3,15,9,9,,,,,,4,3
G090429-Dam,Damier 1,North Slope,Pore-DAB*515,Pore-DAB*205,Pore-DAB*202,,,,,,,6,1,9,,,,,,,3,3
G090430Dam1,Damier 1,North slope,Pore-DAB*322,,,,,,,,,3,,,,,,,,,1,1
G090431-Dam,Damier 1,North Slope,Pore-DAB*512,Pore-DAB*834,Pore-DAB*418,Pore-DAB*202,,,,,,15,13,15,9,,,,,,4,3
G090432-Dam,Damier 1,North Slope,Pore-DAB*322,Pore-DAB*865,Pore-DAB*249,Pore-DAB*202,,,,,,3,3,9,9,,,,,,4,2
G100613Dam1,Damier 1,North slope,Pore-DAB*349,Pore-DAB*249,Pore-DAB*416,Pore-DAB*202,,,,,,15,9,15,9,,,,,,4,2
G100614Dam1,Damier 1,North slope,Pore-DAB*322,Pore-DAB*284,Pore-DAB*202,Pore-DAB*249,,,,,,3,3,9,9,,,,,,4,2
G100615Dam1,Damier 1,North slope,Pore-DAB*202,Pore-DAB*284,Pore-DAB*322,Pore-DAB*347,Pore-DAB*249,,,,,9,3,3,15,9,,,,,5,3
G100616Dam1,Damier 1,North slope,Pore-DAB*322,Pore-DAB*342,Pore-DAB*202,Pore-DAB*249,,,,,,3,15,9,9,,,,,,4,3
G100617Dam1,Damier 1,North slope,Pore-DAB*347,Pore-DAB*284,Pore-DAB*322,Pore-DAB*249,Pore-DAB*202,,,,,15,3,3,9,9,,,,,5,3
G100618Dam1,Damier 1,North slope,Pore-DAB*347,Pore-DAB*249,Pore-DAB*202,,,,,,,15,9,9,,,,,,,3,2
G100619Dam1,Damier 1,North slope,Pore-DAB*322,Pore-DAB*202,,,,,,,,3,9,,,,,,,,2,2
G100620Dam1,Damier 1,North slope,Pore-DAB*202,Pore-DAB*284,,,,,,,,9,3,,,,,,,,2,2
G100621Dam1,Damier 1,North slope,Pore-DAB*325,Pore-DAB*334,Pore-DAB*349,Pore-DAB*249,Pore-DAB*202,,,,,14,7,15,9,9,,,,,5,4
G100622Dam1,Damier 1,North slope,Pore-DAB*347,Pore-DAB*249,Pore-DAB*202,,,,,,,15,9,9,,,,,,,3,2
G100624Dam1,Damier 1,North slope,Pore-DAB*284,Pore-DAB*202,Pore-DAB*322,,,,,,,3,9,3,,,,,,,3,2
G100625Dam1,Damier 1,North slope,Pore-DAB*322,Pore-DAB*249,Pore-DAB*202,,,,,,,3,9,9,,,,,,,3,2
G100626Dam1,Damier 1,North slope,Pore-DAB*322,Pore-DAB*202,,,,,,,,3,9,,,,,,,,2,2
G100627Dam1,Damier 1,North slope,Pore-DAB*322,Pore-DAB*249,Pore-DAB*347,,,,,,,3,9,15,,,,,,,3,3
G100628Dam1,Damier 1,North slope,Pore-DAB*349,Pore-DAB*347,Pore-DAB*249,Pore-DAB*202,,,,,,15,15,9,9,,,,,,4,2
G100629Dam1,Damier 1,North slope,Pore-DAB*322,Pore-DAB*326,Pore-DAB*249,Pore-DAB*202,,,,,,3,12,9,9,,,,,,4,3
G100630Dam1,Damier 1,North slope,Pore-DAB*415,Pore-DAB*202,,,,,,,,15,9,,,,,,,,2,2
G100631Dam1,Damier 1,North slope,Pore-DAB*325,Pore-DAB*334,Pore-DAB*249,,,,,,,14,7,9,,,,,,,3,3
G100632Dam1,Damier 1,North slope,Pore-DAB*284,Pore-DAB*342,Pore-DAB*202,,,,,,,3,15,9,,,,,,,3,3
G100633Dam1,Damier 1,North slope,Pore-DAB*322,Pore-DAB*284,Pore-DAB*249,Pore-DAB*202,,,,,,3,3,9,9,,,,,,4,2
G100634Dam1,Damier 1,North slope,Pore-DAB*322,Pore-DAB*349,Pore-DAB*202,,,,,,,3,15,9,,,,,,,3,3
G100635Dam1,Damier 1,North slope,Pore-DAB*322,Pore-DAB*202,,,,,,,,3,9,,,,,,,,2,2
G100636Dam1,Damier 1,North slope,Pore-DAB*284,Pore-DAB*249,Pore-DAB*347,,,,,,,3,9,15,,,,,,,3,3
G100637Dam1,Damier 1,North slope,Pore-DAB*295,Pore-DAB*412,Pore-DAB*202,Pore-DAB*249,,,,,,8,6,9,9,,,,,,4,3
G100638Dam1,Damier 1,North slope,Pore-DAB*349,Pore-DAB*202,,,,,,,,15,9,,,,,,,,2,2
G100639Dam1,Damier 1,North slope,Pore-DAB*322,Pore-DAB*347,Pore-DAB*202,Pore-DAB*202,,,,,,3,15,9,9,,,,,,4,3
G100640Dam1,Damier 1,North slope,Pore-DAB*284,Pore-DAB*277,Pore-DAB*202,,,,,,,3,13,9,,,,,,,3,3
G100641Dam1,Damier 1,North slope,Pore-DAB*277,Pore-DAB*249,Pore-DAB*202,,,,,,,13,9,9,,,,,,,3,2
G100642Dam1,Damier 1,North slope,Pore-DAB*249,Pore-DAB*349,,,,,,,,9,15,,,,,,,,2,2
G100643Dam1,Damier 1,North slope,Pore-DAB*347,Pore-DAB*284,Pore-DAB*249,Pore-DAB*202,,,,,,15,3,9,9,,,,,,4,3
G100644Dam1,Damier 1,North slope,Pore-DAB*325,Pore-DAB*334,Pore-DAB*249,Pore-DAB*202,,,,,,14,7,9,9,,,,,,4,3
G091442-Dam2,Damier 2,North Slope,Pore-DAB*322,Pore-DAB*202,Pore-DAB*418,,,,,,,3,9,15,,,,,,,3,3
G091443Dam2,Damier 2,North slope,Pore-DAB*322,Pore-DAB*249,Pore-DAB*202,,,,,,,3,9,9,,,,,,,3,2
G091443-Dam2,Damier 2,North Slope,Pore-DAB*322,Pore-DAB*249,Pore-DAB*202,Pore-DAB*514,,,,,,3,9,9,10,,,,,,4,3
G091444-Dam2,Damier 2,North Slope,Pore-DAB*322,Pore-DAB*284,Pore-DAB*202,,,,,,,3,3,9,,,,,,,3,2
G091445-Dam2,Damier 2,North Slope,Pore-DAB*418,Pore-DAB*202,Pore-DAB*249,,,,,,,15,9,9,,,,,,,3,2
G091447Dam2,Damier 2,North slope,Pore-DAB*322,Pore-DAB*284,Pore-DAB*249,,,,,,,3,3,9,,,,,,,3,2
G091447-Dam2,Damier 2,North Slope,Pore-DAB*322,Pore-DAB*249,Pore-DAB*284,,,,,,,3,9,3,,,,,,,3,2
G091448Dam2,Damier 2,North slope,Pore-DAB*284,Pore-DAB*249,Pore-DAB*202,Pore-DAB*240,Pore-DAB*267,Pore-DAB*251,Pore-DAB*250,,,3,9,9,4,11,15,3,,,7,5
G091448-Dam2,Damier 2,North Slope,Pore-DAB*284,Pore-DAB*202,Pore-DAB*249,Pore-DAB*514,,,,,,3,9,9,10,,,,,,4,3
G091449-Dam2,Damier 2,North Slope,Pore-DAB*322,Pore-DAB*249,,,,,,,,3,9,,,,,,,,2,2
G091450-Dam2,Damier 2,North Slope,Pore-DAB*322,Pore-DAB*202,Pore-DAB*347,,,,,,,3,9,15,,,,,,,3,3
G091451-Dam2,Damier 2,North Slope,Pore-DAB*284,Pore-DAB*512,Pore-DAB*249,Pore-DAB*202,,,,,,3,15,9,9,,,,,,4,3
G091452-Dam2,Damier 2,North Slope,Pore-DAB*322,Pore-DAB*202,Pore-DAB*249,,,,,,,3,9,9,,,,,,,3,2
G091453-Dam2,Damier 2,North Slope,Pore-DAB*415,Pore-DAB*249,Pore-DAB*202,,,,,,,15,9,9,,,,,,,3,2
G091454-Dam2,Damier 2,North Slope,Pore-DAB*322,Pore-DAB*249,Pore-DAB*202,,,,,,,3,9,9,,,,,,,3,2
G091455-Dam2,Damier 2,North Slope,Pore-DAB*322,Pore-DAB*342,Pore-DAB*202,,,,,,,3,15,9,,,,,,,3,3
G091456Dam2,Damier 2,North slope,Pore-DAB*284,Pore-DAB*326,Pore-DAB*202,,,,,,,3,12,9,,,,,,,3,3
G091456-Dam2,Damier 2,North Slope,Pore-DAB*284,Pore-DAB*326,Pore-DAB*202,,,,,,,3,12,9,,,,,,,3,3
G091457-Dam2,Damier 2,North Slope,Pore-DAB*322,Pore-DAB*249,Pore-DAB*516,,,,,,,3,9,15,,,,,,,3,3
G091458-Dam2,Damier 2,North Slope,Pore-DAB*284,Pore-DAB*202,,,,,,,,3,9,,,,,,,,2,2
G091459-Dam2,Damier 2,North Slope,Pore-DAB*322,Pore-DAB*202,Pore-DAB*249,,,,,,,3,9,9,,,,,,,3,2
G091460-Dam2,Damier 2,North Slope,Pore-DAB*322,Pore-DAB*249,Pore-DAB*515,Pore-DAB*205,,,,,,3,9,6,1,,,,,,4,4
G091461Dam2,Damier 2,North slope,Pore-DAB*322,,,,,,,,,3,,,,,,,,,1,1
G091461-Dam2,Damier 2,North Slope,Pore-DAB*322,Pore-DAB*202,,,,,,,,3,9,,,,,,,,2,2
G091462-Dam2,Damier 2,North Slope,Pore-DAB*284,Pore-DAB*202,Pore-DAB*249,,,,,,,3,9,9,,,,,,,3,2
G091463-Dam2,Damier 2,North Slope,Pore-DAB*322,Pore-DAB*202,,,,,,,,3,9,,,,,,,,2,2
