Sample,Site,Drainage,G1,G2,G3,G4,G5,G6,G7,G8,G9,S1,S2,S3,S4,S5,S6,S7,S8,S9,Ai,STi
G101708 - Stol,Stollmeyer,SW,Pore-DAB*355,Pore-DAB*530,Pore-DAB*421,Pore-DAB*639,Pore-DAB*636,,,,,11,12,6,9,9,,,,,5,4
G101712 - Stol,Stollmeyer,SW,Pore-DAB*421,Pore-DAB*619,Pore-DAB*276,,,,,,,6,2,9,,,,,,,3,3
G101719 - Stol,Stollmeyer,SW,Pore-DAB*548,Pore-DAB*523,,,,,,,,7,10,,,,,,,,2,2
G101720 - Stol,Stollmeyer,SW,Pore-DAB*619,Pore-DAB*421,Pore-DAB*636,,,,,,,2,6,9,,,,,,,3,3
G109127,Point Fortin 1,SW,Pore-DAB*427,Pore-DAB*104,Pore-DAB*256,Pore-DAB*824,,,,,,6,9,9,15,,,,,,4,3
G109129,Point Fortin 1,SW,Pore-DAB*824,Pore-DAB*837,Pore-DAB*427,Pore-DAB*104,Pore-DAB*371,Pore-DAB*355,,,,15,10,6,9,9,11,,,,6,5
G109131,Point Fortin 1,SW,Pore-DAB*824,Pore-DAB*837,,,,,,,,15,10,,,,,,,,2,2
G109135,Point Fortin 1,SW,Pore-DAB*824,Pore-DAB*856,Pore-DAB*837,Pore-DAB*103,Pore-DAB*256,,,,,15,10,10,9,9,,,,,5,3
G109137,Point Fortin 1,SW,Pore-DAB*824,Pore-DAB*837,Pore-DAB*567,Pore-DAB*202,Pore-DAB*256,,,,,15,10,6,9,9,,,,,5,4
G109138,Point Fortin 1,SW,Pore-DAB*824,Pore-DAB*350,Pore-DAB*853,Pore-DAB*837,Pore-DAB*819,,,,,15,10,15,10,9,,,,,5,3
G109140,Point Fortin 1,SW,Pore-DAB*824,Pore-DAB*837,,,,,,,,15,10,,,,,,,,2,2
