"Generation","Allele","Count","Percentage"
"12","Allele_2",0,0.0
"12","Allele_3",0,0.0
"12","Allele_4",0,0.0
"12","Allele_5",5,11.111111111111112
"12","Allele_6",10,22.222222222222225
"12","Allele_7",1,2.2222222222222223
"12","Allele_8",0,0.0
"12","Allele_9",2,4.444444444444445
"12","Allele_10",9,20.0
"12","Allele_11",0,0.0
"12","Allele_12",7,15.555555555555555
"12","Allele_13",9,20.0
"12","Allele_14",2,4.444444444444445
"12","Allele_15",0,0.0
"13","Allele_1",0,0.0
"13","Allele_2",0,0.0
"13","Allele_3",0,0.0
"13","Allele_4",0,0.0
"13","Allele_5",5,12.82051282051282
"13","Allele_6",8,20.51282051282051
"13","Allele_7",0,0.0
"13","Allele_8",0,0.0
"13","Allele_9",3,7.6923076923076925
"13","Allele_10",4,10.256410256410255
"13","Allele_11",0,0.0
"13","Allele_12",10,25.64102564102564
"13","Allele_13",7,17.94871794871795
"13","Allele_14",2,5.128205128205128
"13","Allele_15",0,0.0
"14","Allele_1",0,0.0
"14","Allele_2",0,0.0
"14","Allele_3",0,0.0
"14","Allele_4",0,0.0
"14","Allele_5",8,29.629629629629626
"14","Allele_6",2,7.4074074074074066
"14","Allele_7",0,0.0
"14","Allele_8",0,0.0
"14","Allele_9",1,3.7037037037037033
"14","Allele_10",8,29.629629629629626
"14","Allele_11",0,0.0
"14","Allele_12",2,7.4074074074074066
"14","Allele_13",5,18.51851851851852
"14","Allele_14",1,3.7037037037037033
"14","Allele_15",0,0.0
"15","Allele_1",0,0.0
"15","Allele_2",0,0.0
"15","Allele_3",0,0.0
"15","Allele_4",0,0.0
"15","Allele_5",6,20.689655172413794
"15","Allele_6",3,10.344827586206897
"15","Allele_7",0,0.0
"15","Allele_8",0,0.0
"15","Allele_9",2,6.896551724137931
"15","Allele_10",5,17.24137931034483
"15","Allele_11",0,0.0
"15","Allele_12",7,24.137931034482758
"15","Allele_13",4,13.793103448275861
"15","Allele_14",2,6.896551724137931
"15","Allele_15",0,0.0
"16","Allele_1",0,0.0
"16","Allele_2",0,0.0
"16","Allele_3",0,0.0
"16","Allele_4",0,0.0
"16","Allele_5",3,12.0
"16","Allele_6",3,12.0
"16","Allele_7",0,0.0
"16","Allele_8",0,0.0
"16","Allele_9",3,12.0
"16","Allele_10",3,12.0
"16","Allele_11",0,0.0
"16","Allele_12",5,20.0
"16","Allele_13",6,24.0
"16","Allele_14",2,8.0
"16","Allele_15",0,0.0
"17","Allele_1",0,0.0
"17","Allele_2",0,0.0
"17","Allele_3",1,4.545454545454546
"17","Allele_4",0,0.0
"17","Allele_5",0,0.0
"17","Allele_6",7,31.818181818181817
"17","Allele_7",0,0.0
"17","Allele_8",0,0.0
